Date,Close,High,Low,Open,Volume,sma_50,sma_200,sma_crossover,price_sma_ratio,rsi,macd,macd_hist,adx,obv
2025-07-24,9138.400391,9158.200195,9060.700195,9061.5,800722200,,,0.0,1.0,0.0,0.0,0.0,0.0,0
2025-07-25,9120.299805,9145.0,9094.700195,9138.400391,1064163700,,,0.0,1.0,0.0,0.0,0.0,0.0,-1064163700
2025-07-28,9081.400391,9169.0,9058.400391,9120.299805,543629900,,,0.0,1.0,0.0,0.0,0.0,0.0,-1607793600
2025-07-29,9136.299805,9163.200195,9076.400391,9081.400391,717674800,,,0.0,1.0,0.0,0.0,0.0,0.0,-890118800
2025-07-30,9136.900391,9146.799805,9091.5,9136.299805,774736700,,,0.0,1.0,0.0,0.0,0.0,0.0,-115382100
2025-07-31,9132.799805,9190.700195,9115.799805,9136.900391,926035400,,,0.0,1.0,0.0,0.0,0.0,0.0,-1041417500
2025-08-01,9068.599609,9132.799805,9027.900391,9132.799805,750993500,,,0.0,1.0,0.0,0.0,0.0,0.0,-1792411000
2025-08-04,9128.299805,9129.099609,9068.099609,9068.599609,1259903600,,,0.0,1.0,0.0,0.0,0.0,0.0,-532507400
2025-08-05,9142.700195,9178.0,9126.599609,9128.299805,815463500,,,0.0,1.0,0.0,0.0,0.0,0.0,282956100
2025-08-06,9164.299805,9184.200195,9142.700195,9142.700195,902688800,,,0.0,1.0,0.0,0.0,0.0,0.0,1185644900
2025-08-07,9100.799805,9164.299805,9084.5,9164.299805,857875100,,,0.0,1.0,0.0,0.0,0.0,0.0,327769800
2025-08-08,9095.700195,9127.099609,9079.900391,9100.799805,874135800,,,0.0,1.0,0.0,0.0,0.0,0.0,-546366000
2025-08-11,9129.700195,9137.700195,9093.200195,9095.700195,574794700,,,0.0,1.0,0.0,0.0,0.0,0.0,28428700
2025-08-12,9147.799805,9165.0,9119.400391,9129.700195,620578300,,,0.0,1.0,0.0,0.0,0.0,0.0,649007000
2025-08-13,9165.200195,9182.700195,9142.400391,9147.799805,668377900,,,0.0,1.0,0.0,0.0,0.0,0.0,1317384900
2025-08-14,9177.200195,9177.200195,9133.700195,9165.200195,558589800,,,0.0,1.0,0.0,0.0,0.0,0.0,1875974700
2025-08-15,9138.900391,9222.099609,9129.5,9177.200195,637843000,,,0.0,1.0,0.0,0.0,0.0,0.0,1238131700
2025-08-18,9157.700195,9165.700195,9126.900391,9138.900391,904487300,,,0.0,1.0,0.0,0.0,0.0,0.0,2142619000
2025-08-19,9189.200195,9197.099609,9154.799805,9157.700195,638477900,,,0.0,1.0,0.0,0.0,0.0,0.0,2781096900
2025-08-20,9288.099609,9301.200195,9166.799805,9189.200195,738157900,,,0.0,1.0,0.0,0.0,0.0,0.0,3519254800
2025-08-21,9309.200195,9309.200195,9257.5,9288.099609,471872700,,,0.0,1.0,0.0,0.0,0.0,0.0,3991127500
2025-08-22,9321.400391,9357.5,9285.599609,9309.200195,503779500,,,0.0,1.0,0.0,0.0,0.0,0.0,4494907000
2025-08-26,9265.799805,9325.900391,9249.599609,9321.400391,1238002200,,,0.0,1.0,0.0,0.0,0.0,0.0,3256904800
2025-08-27,9255.5,9301.900391,9230.599609,9265.799805,580184000,,,0.0,1.0,0.0,0.0,0.0,0.0,2676720800
