Price,Adj Close,Close,High,Low,Open,Volume,log_return,sma_50,sma_200,rsi,macd,macd_signal,macd_hist,adx,adx_pos,adx_neg,obv,sma_crossover,price_sma_ratio,target
Ticker,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,
2010-01-04,5500.2998046875,5500.2998046875,5500.2998046875,5410.7998046875,5412.89990234375,750942000,0.0,5500.2998046875,5500.2998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1
2010-01-05,5522.5,5522.5,5536.39990234375,5480.7001953125,5500.2998046875,1149301200,0.004028055616141068,5511.39990234375,5511.39990234375,99.99999099107106,1.7709557514253902,0.3541911502850781,1.416764601140312,50.0,24.86237637413449,0.0,1149301200,0,1.0,1
2010-01-06,5530.0,5530.0,5536.5,5497.7001953125,5522.5,998295300,0.0013571592221082818,5517.599934895833,5517.599934895833,99.99998989905734,3.736565462638282,1.0306660127557188,2.7058994498825633,66.66666666666667,19.67407140070748,0.0,2147596500,0,1.0,0
2010-01-07,5526.7001953125,5526.7001953125,5551.7001953125,5499.7998046875,5530.0,1162933700,-0.0005968878105003817,5519.875,5519.875,90.00059185606061,4.970758845781347,1.8186845793608444,3.152074266420503,75.0,21.78906820830306,0.0,984662800,0,1.0,1
2010-01-08,5534.2001953125,5534.2001953125,5549.2998046875,5494.7998046875,5526.7001953125,1006420600,0.001356128503929868,5522.7400390625,5522.7400390625,91.85233410493828,6.4793632474375045,2.7508203129761766,3.728542934461328,76.45392526924542,17.69986498279077,1.7217636643973238,1991083400,0,1.0,1
2010-01-11,5538.10009765625,5538.10009765625,5600.5,5527.89990234375,5534.2001953125,901194900,0.0007044430519104764,5525.300048828125,5525.300048828125,92.56799111414149,7.898582686440932,3.780372787669128,4.118209898771804,78.82933277623944,28.264624225206614,1.3774104683195594,2892278300,0,1.0,0
2010-01-12,5498.7001953125,5498.7001953125,5549.60009765625,5459.89990234375,5538.10009765625,957401700,-0.007139763096049951,5521.500069754465,5521.500069754465,49.045576907389496,5.777482257254633,4.1797946815862295,1.5976875756684032,69.97610944499066,22.66413555812022,16.125462448631797,1934876600,0,1.0,0
2010-01-13,5473.5,5473.5,5509.7001953125,5450.89990234375,5498.7001953125,849923000,-0.004593470621058384,5515.500061035156,5515.500061035156,37.706511611238525,2.0395391922820636,3.7517435837253963,-1.7122043914433327,62.624038921838356,20.05874643096817,16.031265243858783,1084953600,0,1.0,1
2010-01-14,5498.2001953125,5498.2001953125,5521.89990234375,5473.5,5473.5,928036100,0.004502535906259879,5513.577853732639,5513.577853732639,49.21480691554244,1.0580946598420269,3.2130137989487224,-2.1549191391066955,57.51767801070938,20.503699388493352,14.645462188098469,2012989700,0,1.0,0
2010-01-15,5455.39990234375,5455.39990234375,5527.0,5450.39990234375,5498.2001953125,1743437800,-0.007814875550120245,5507.76005859375,5507.76005859375,37.28051611047022,-3.137169807921964,1.9429770775745854,-5.08014688549655,52.20702790319643,18.03616730581725,16.512178637922663,269551900,0,1.0,1
2010-01-18,5494.39990234375,5494.39990234375,5504.0,5454.2998046875,5455.39990234375,776795200,0.007123448028625785,5506.545498934659,5506.545498934659,48.63111624692701,-3.2771955896987492,0.8989425441199186,-4.176138133818668,47.86195054250401,16.729842408130708,15.316233307408389,1046347100,0,1.0,1
2010-01-19,5513.10009765625,5513.10009765625,5531.89990234375,5431.2998046875,5494.39990234375,1107801600,0.0033977221536021836,5507.091715494792,5507.091715494792,52.73276165814991,-1.8578019682727245,0.34759364164139,-2.2053956099141145,45.137917039617605,18.136763296776408,13.357904587902949,2154148700,0,1.0,0
2010-01-20,5420.7998046875,5420.7998046875,5513.10009765625,5404.0,5513.10009765625,1199200900,-0.01688372609549827,5500.453876201923,5500.453876201923,37.825457547325,-8.087556239953301,-1.3394363346775484,-6.748119905275752,41.95378482297801,15.92812315205158,14.778409694763203,954947800,0,1.0,0
2010-01-21,5335.10009765625,5335.10009765625,5468.39990234375,5331.60009765625,5420.7998046875,1345500500,-0.015935722980358138,5488.64289202009,5488.64289202009,29.96125266084411,-19.71269583148387,-5.014088234038812,-14.698607597445058,40.23354242041175,13.818156371884061,19.83147759472825,-390552700,0,1.0,0
2010-01-22,5303.0,5303.0,5345.60009765625,5253.0,5335.10009765625,1645842400,-0.006034948869993322,5476.26669921875,5476.26669921875,27.7965948954203,-31.156756625558046,-10.24262191234266,-20.914134713215386,42.59213823602886,13.776799351347274,27.360464239247268,-2036395100,0,1.0,0
2010-01-25,5260.2998046875,5260.2998046875,5330.60009765625,5252.89990234375,5303.0,1024448800,-0.008084675940768485,5462.768768310547,5462.768768310547,21.794346536234443,-43.17412175552545,-16.828921880979216,-26.345199874546232,38.688374696629936,10.077516517208224,26.800875378569845,-3060843900,0,1.0,1
2010-01-26,5276.89990234375,5276.89990234375,5276.89990234375,5215.7001953125,5260.2998046875,1015919800,0.003150763362305849,5451.835305606618,5451.835305606618,23.29609324207226,-50.77319921804337,-23.61777734839205,-27.155421869651324,35.12697578556449,9.859274621516898,29.688887161137163,-2044924100,0,1.0,0
2010-01-27,5217.5,5217.5,5276.89990234375,5192.60009765625,5276.89990234375,1271716800,-0.011320425607311602,5438.816677517361,5438.816677517361,20.830224000913915,-60.88673417800237,-31.071568714314115,-29.815165463688256,32.12931066244318,8.205982078516428,30.90055937709284,-3316640900,0,1.0,0
2010-01-28,5145.7001953125,5145.7001953125,5280.39990234375,5145.7001953125,5217.5,1294378400,-0.013856907559552243,5423.389494243421,5423.389494243421,17.314530599904046,-73.84419773505851,-39.626094518463,-34.218103216595516,30.661417371564756,7.654240632374823,32.33564824764466,-4611019300,0,1.0,1
2010-01-29,5188.5,5188.5,5230.2001953125,5145.7001953125,5145.7001953125,1281845800,0.008283185653529436,5411.64501953125,5411.64501953125,22.394210341649995,-79.74029789460201,-47.648935193690804,-32.091362700911205,29.97989230463393,3.3285965695886794,32.0162401012311,-3329173500,0,1.0,1
2010-02-01,5247.39990234375,5247.39990234375,5250.10009765625,5163.60009765625,5188.5,934766100,0.011288059163803066,5403.823823474702,5403.823823474702,30.749193367999993,-78.75246053469073,-53.869640261890794,-24.882820272799933,33.64933347317603,4.9937171634415325,26.441923181960053,-2394407400,0,1.0,1
2010-02-02,5283.2998046875,5283.2998046875,5289.10009765625,5208.2001953125,5247.39990234375,1105691000,0.006818168292113643,5398.345458984375,5398.345458984375,35.6647510311752,-74.21724007389457,-57.939160224291555,-16.278079849603017,36.5261534585389,8.090842049983799,25.228817062873215,-1288716400,0,1.0,0
2010-02-03,5253.2001953125,5253.2001953125,5305.39990234375,5237.7001953125,5283.2998046875,1140388100,-0.005713413610526532,5392.034795346467,5392.034795346467,31.683607091177493,-72.21933259664547,-60.795194698762344,-11.424137897883128,38.90190095669995,8.295088742379564,24.837062721129165,-2429104500,0,1.0,0
2010-02-04,5139.2998046875,5139.2998046875,5262.2001953125,5123.89990234375,5253.2001953125,1725801600,-0.021920606489917782,5381.504170735677,5381.504170735677,28.638995852347534,-78.91707918031989,-64.41957159507386,-14.497507585246026,42.79862329904416,7.902777881743531,30.614749496597828,-4154906100,0,1.0,0
2010-02-05,5060.89990234375,5060.89990234375,5139.2998046875,5033.7998046875,5139.2998046875,1930760100,-0.015372531619080752,5368.68,5368.68,22.18657072717771,-89.51938476269606,-69.4395342285983,-20.07985053409776,47.140988792620014,7.578627887461245,35.98207959662582,-6085666200,0,1.0,1
